accuracy,precision,recall,f1,auc,confusion_matrix,round
0.931049822064057,0.9319918038598503,0.931049822064057,0.9309211826717727,0.9921518110486863,"[[448, 0, 0, 0, 2], [0, 376, 33, 40, 0], [0, 25, 403, 22, 0], [0, 13, 14, 422, 1], [0, 0, 0, 5, 444]]",23
0.9319395017793595,0.9330639266831082,0.9319395017793595,0.9318241392859948,0.9919054996931724,"[[448, 0, 0, 0, 2], [0, 376, 34, 39, 0], [0, 22, 405, 23, 0], [0, 12, 15, 422, 1], [0, 0, 0, 5, 444]]",24
0.9323843416370107,0.9334662081558625,0.9323843416370107,0.9323230963305791,0.9920431424636884,"[[448, 0, 0, 0, 2], [0, 379, 29, 41, 0], [0, 24, 404, 22, 0], [0, 13, 13, 422, 2], [0, 0, 0, 6, 443]]",25
0.9350533807829181,0.9362279517644917,0.9350533807829181,0.9350018502413998,0.992018638261548,"[[447, 0, 0, 0, 3], [0, 380, 28, 41, 0], [0, 18, 410, 22, 0], [0, 14, 13, 421, 2], [0, 0, 0, 5, 444]]",26
0.9346085409252669,0.9357121294360747,0.9346085409252669,0.9345210429671604,0.9921362641977047,"[[448, 0, 0, 0, 2], [0, 380, 31, 38, 0], [0, 21, 406, 23, 0], [0, 11, 14, 423, 2], [0, 0, 0, 5, 444]]",27
0.9306049822064056,0.9316467835349355,0.9306049822064056,0.9304597124718647,0.9917890186710583,"[[448, 0, 0, 0, 2], [0, 375, 34, 40, 0], [0, 25, 402, 23, 0], [0, 12, 14, 423, 1], [0, 0, 0, 5, 444]]",28
0.9341637010676157,0.935250286925464,0.9341637010676157,0.9340952301027038,0.9920944945005508,"[[448, 0, 0, 0, 2], [0, 379, 31, 39, 0], [0, 20, 408, 22, 0], [0, 13, 15, 421, 1], [0, 0, 0, 5, 444]]",29
0.9328291814946619,0.9337364453798213,0.9328291814946619,0.9327138526212804,0.9918416279093936,"[[448, 0, 0, 0, 2], [0, 378, 31, 40, 0], [0, 25, 404, 21, 0], [0, 13, 13, 423, 1], [0, 0, 0, 5, 444]]",30
0.9319395017793595,0.9330760196197028,0.9319395017793595,0.9318218137473476,0.991944807163389,"[[448, 0, 0, 0, 2], [0, 378, 31, 40, 0], [0, 25, 401, 24, 0], [0, 10, 14, 424, 2], [0, 0, 0, 5, 444]]",31
0.9301601423487544,0.9312480646277558,0.9301601423487544,0.9300706481550651,0.9917061080724983,"[[448, 0, 0, 0, 2], [0, 375, 32, 42, 0], [0, 22, 406, 22, 0], [0, 15, 14, 419, 2], [0, 0, 0, 6, 443]]",32
0.9297153024911032,0.9307734724274366,0.9297153024911032,0.9296272640780116,0.9918164243649427,"[[448, 0, 0, 0, 2], [0, 376, 33, 40, 0], [0, 25, 401, 24, 0], [0, 15, 12, 422, 1], [0, 0, 0, 6, 443]]",33
0.9306049822064056,0.9314953654355428,0.9306049822064056,0.9304616901252729,0.9917825319178701,"[[447, 0, 0, 0, 3], [0, 376, 33, 40, 0], [0, 25, 404, 21, 0], [0, 12, 15, 421, 2], [0, 0, 0, 5, 444]]",34
0.9328291814946619,0.9337803262218176,0.9328291814946619,0.9326660320718166,0.9919271942104355,"[[447, 0, 0, 0, 3], [0, 376, 34, 39, 0], [0, 22, 408, 20, 0], [0, 12, 14, 422, 2], [0, 0, 0, 5, 444]]",35
0.9332740213523132,0.93433442244813,0.9332740213523132,0.9331796978022728,0.9918759160686106,"[[448, 0, 0, 0, 2], [0, 378, 31, 40, 0], [0, 23, 406, 21, 0], [0, 11, 16, 422, 1], [0, 0, 0, 5, 444]]",36
0.9301601423487544,0.9309352241326316,0.9301601423487544,0.9300238559666654,0.9918209490930637,"[[448, 0, 0, 0, 2], [0, 378, 32, 39, 0], [0, 29, 399, 22, 0], [0, 11, 15, 422, 2], [0, 0, 0, 5, 444]]",37
0.9328291814946619,0.9340324490206675,0.9328291814946619,0.932777984478012,0.9919830600356508,"[[448, 0, 0, 0, 2], [0, 380, 30, 39, 0], [0, 25, 402, 23, 0], [0, 9, 16, 424, 1], [0, 0, 0, 6, 443]]",38
0.9297153024911032,0.9304479909002068,0.9297153024911032,0.9296442475358678,0.991983670414942,"[[447, 0, 0, 0, 3], [0, 379, 31, 39, 0], [0, 25, 402, 23, 0], [0, 17, 13, 418, 2], [0, 0, 0, 5, 444]]",39
0.9301601423487544,0.9312947580226284,0.9301601423487544,0.9300261328106662,0.991685028177345,"[[447, 0, 0, 0, 3], [0, 375, 34, 40, 0], [0, 24, 403, 23, 0], [0, 12, 13, 423, 2], [0, 0, 0, 6, 443]]",40
0.9292704626334519,0.9301876607450626,0.9292704626334519,0.9291437195896485,0.9918967686368617,"[[448, 0, 0, 0, 2], [0, 375, 35, 39, 0], [0, 23, 403, 24, 0], [0, 15, 14, 419, 2], [0, 0, 0, 5, 444]]",41
0.9319395017793595,0.9333966702255557,0.9319395017793595,0.9318733312106279,0.9918183086190719,"[[448, 0, 0, 0, 2], [0, 375, 32, 42, 0], [0, 19, 407, 24, 0], [0, 14, 13, 422, 1], [0, 0, 0, 6, 443]]",42
0.9314946619217082,0.9325141723856545,0.9314946619217082,0.9313860518105171,0.9918900015551204,"[[448, 0, 0, 0, 2], [0, 377, 34, 38, 0], [0, 23, 404, 23, 0], [0, 13, 13, 422, 2], [0, 0, 0, 6, 443]]",43
0.9346085409252669,0.9357951220672079,0.9346085409252669,0.934478583427603,0.9919868072836057,"[[448, 0, 0, 0, 2], [0, 378, 30, 41, 0], [0, 20, 407, 22, 1], [0, 12, 12, 424, 2], [0, 0, 0, 5, 444]]",44
0.9301601423487544,0.9310027354036182,0.9301601423487544,0.9300449612314939,0.9917527868573286,"[[447, 0, 0, 0, 3], [0, 377, 32, 40, 0], [0, 25, 403, 22, 0], [0, 14, 14, 420, 2], [0, 0, 0, 5, 444]]",45
0.931049822064057,0.9320252915503735,0.931049822064057,0.9309386655024972,0.9920485145993064,"[[448, 0, 0, 0, 2], [0, 376, 32, 41, 0], [0, 24, 405, 21, 0], [0, 14, 13, 421, 2], [0, 0, 0, 6, 443]]",46
0.9301601423487544,0.9311448297488704,0.9301601423487544,0.9300357714399191,0.9919428752742867,"[[448, 0, 0, 0, 2], [0, 375, 36, 38, 0], [0, 23, 405, 22, 0], [0, 13, 15, 420, 2], [0, 0, 0, 6, 443]]",47
0.9314946619217082,0.9322992477444986,0.9314946619217082,0.9313223723103777,0.9918653311464489,"[[447, 0, 0, 0, 3], [0, 376, 33, 40, 0], [0, 24, 405, 21, 0], [0, 13, 14, 421, 2], [0, 0, 0, 4, 445]]",48
0.9314946619217082,0.9326470268488907,0.9314946619217082,0.9314210891327851,0.991876105966471,"[[448, 0, 0, 0, 2], [0, 378, 32, 39, 0], [0, 23, 403, 24, 0], [0, 12, 14, 422, 2], [0, 0, 0, 6, 443]]",49
0.9319395017793595,0.9332806092967975,0.9319395017793595,0.9318694884261687,0.9918196851259399,"[[448, 0, 0, 0, 2], [0, 376, 32, 41, 0], [0, 19, 407, 24, 0], [0, 14, 13, 421, 2], [0, 0, 0, 6, 443]]",50
